id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1552583718283386880,1552583718283386880,2022-07-28 02:16:18 Pacific Daylight Time,2022-07-28,02:16:18,-0700,6107422,thetimes,The Times and The Sunday Times,,"Centrica, the owner of British Gas, is to pay £59 million to shareholders after its profits surged five-fold to £1.3 billion thanks to high energy prices  https://t.co/7bx2TVxc0M",en,[],['https://www.thetimes.co.uk/article/five-fold-profit-surge-at-british-gas-owner-centrica-s0r5g58dw?utm_medium=Social&utm_source=Twitter#Echobox=1658997476'],[],3,4,6,[],[],https://twitter.com/thetimes/status/1552583718283386880,False,,0,,,,,,,,[],,,,
1552579838644469762,1552579838644469762,2022-07-28 02:00:53 Pacific Daylight Time,2022-07-28,02:00:53,-0700,6107422,thetimes,The Times and The Sunday Times,,"Social care staff must get an immediate “rescue package” pay rise in to prevent a “catastrophe” in hospitals this winter, NHS bosses say  https://t.co/7BdHh4SEVy",en,[],['https://www.thetimes.co.uk/article/nhs-bosses-raise-social-care-pay-to-stave-off-catastrophe-q9qkptn6v?utm_medium=Social&utm_source=Twitter#Echobox=1658983199'],[],1,4,2,[],[],https://twitter.com/thetimes/status/1552579838644469762,False,,0,,,,,,,,[],,,,
1552575968006619136,1552575968006619136,2022-07-28 01:45:30 Pacific Daylight Time,2022-07-28,01:45:30,-0700,6107422,thetimes,The Times and The Sunday Times,,Patients with long Covid will be referred by their GP for specialist tests within six weeks under a new NHS drive  https://t.co/kDJtDW7cDv,en,[],['https://www.thetimes.co.uk/article/nhs-promises-tests-for-long-covid-within-six-weeks-of-reporting-symptoms-62ppxrb0q?utm_medium=Social&utm_source=Twitter#Echobox=1658983298'],[],2,5,3,[],[],https://twitter.com/thetimes/status/1552575968006619136,False,,0,,,,,,,,[],,,,
1552572237630373889,1552572237630373889,2022-07-28 01:30:41 Pacific Daylight Time,2022-07-28,01:30:41,-0700,6107422,thetimes,The Times and The Sunday Times,,🔺 NEW: Shell is to buy back $6 billion of shares after profits more than doubled to a new record high of $11.5 billion in the second quarter  https://t.co/6WqEquco0z,en,[],['https://www.thetimes.co.uk/article/shell-to-buy-back-6bn-of-shares-as-profits-double-mkfh7hwcs?utm_medium=Social&utm_source=Twitter#Echobox=1658996460'],[],3,5,5,[],[],https://twitter.com/thetimes/status/1552572237630373889,False,,0,,,,,,,,[],,,,
1552568590364205056,1552568590364205056,2022-07-28 01:16:11 Pacific Daylight Time,2022-07-28,01:16:11,-0700,6107422,thetimes,The Times and The Sunday Times,,"Ancient samples of the virus that causes cold sores suggest it first spread around the world about 5,000 years ago, when humans invented kissing  https://t.co/Vrl74Ej8bI",en,[],['https://www.thetimes.co.uk/article/global-march-of-cold-sore-virus-may-have-started-with-a-kiss-h3hv6vmj5?utm_medium=Social&utm_source=Twitter#Echobox=1658983251'],[],3,5,4,[],[],https://twitter.com/thetimes/status/1552568590364205056,False,,0,,,,,,,,[],,,,
1552564769273659392,1552564769273659392,2022-07-28 01:01:00 Pacific Daylight Time,2022-07-28,01:01:00,-0700,6107422,thetimes,The Times and The Sunday Times,,Labour has descended into open warfare with trade unions as Sir Keir Starmer sacked a frontbencher after he joined a strike picket line  https://t.co/VGcbx4THYT,en,[],['https://www.thetimes.co.uk/article/rail-strikes-could-drag-on-for-a-year-warns-rmt-boss-mick-lynch-pcwcpf3n9?utm_medium=Social&utm_source=Twitter#Echobox=1658983062'],[],0,4,4,[],[],https://twitter.com/thetimes/status/1552564769273659392,False,,0,,,,,,,,[],,,,
1552561165590487040,1552561165590487040,2022-07-28 00:46:41 Pacific Daylight Time,2022-07-28,00:46:41,-0700,6107422,thetimes,The Times and The Sunday Times,,The summer of discontent worsened yesterday as train drivers at nine operating companies vowed to stage a second 24-hour strike on August 13  https://t.co/f4tubH5d6x,en,[],['https://www.thetimes.co.uk/article/more-travel-misery-as-train-drivers-plan-august-strike-mvljz6t8x?utm_medium=Social&utm_source=Twitter#Echobox=1658982999'],[],0,2,6,[],[],https://twitter.com/thetimes/status/1552561165590487040,False,,0,,,,,,,,[],,,,
1552557096016674816,1552557096016674816,2022-07-28 00:30:31 Pacific Daylight Time,2022-07-28,00:30:31,-0700,6107422,thetimes,The Times and The Sunday Times,,A British indie rock duo has made it into one of the most sought-after charts of the summer: Barack Obama’s annual playlist  https://t.co/EdLYHTJ2jQ,en,[],['https://www.thetimes.co.uk/article/rock-duo-wet-leg-feature-on-obamas-annual-playlist-k8nrf9m7d?utm_medium=Social&utm_source=Twitter#Echobox=1658982965'],[],1,1,5,[],[],https://twitter.com/thetimes/status/1552557096016674816,False,,0,,,,,,,,[],,,,
1552555456912031744,1552542193826553857,2022-07-28 00:24:00 Pacific Daylight Time,2022-07-28,00:24:00,-0700,6107422,thetimes,The Times and The Sunday Times,,Read the full story here:  https://t.co/NRQZiRZuNU,en,[],['https://www.thetimes.co.uk/article/first-televised-crown-court-sentencing-to-air-tomorrow-3pp67hwg6?utm_medium=Social&utm_source=Twitter#Echobox=1658982741'],[],1,3,1,[],[],https://twitter.com/thetimes/status/1552555456912031744,False,,0,,,,,,,,[],,,,
1552555455364431873,1552542193826553857,2022-07-28 00:24:00 Pacific Daylight Time,2022-07-28,00:24:00,-0700,6107422,thetimes,The Times and The Sunday Times,,"A QC for the Crown told the court that the 74-year-old was “repeatedly stabbed and slashed with a knife in the face, and in particular in the neck, which had effectively been cut open”",en,[],[],[],1,2,2,[],[],https://twitter.com/thetimes/status/1552555455364431873,False,,0,,,,,,,,[],,,,
1552555453921595392,1552542193826553857,2022-07-28 00:23:59 Pacific Daylight Time,2022-07-28,00:23:59,-0700,6107422,thetimes,The Times and The Sunday Times,,The court had heard how David Oliver was attacked as he lay “helpless” in his bedroom in south London last year,en,[],[],[],1,0,0,[],[],https://twitter.com/thetimes/status/1552555453921595392,False,,0,,,,,,,,[],,,,
1552555452671705088,1552542193826553857,2022-07-28 00:23:59 Pacific Daylight Time,2022-07-28,00:23:59,-0700,6107422,thetimes,The Times and The Sunday Times,,"Oliver who has been diagnosed as autistic, pleaded guilty to fatally stabbing his grandfather in the neck. A jury took two hours to acquit Oliver of murder and accept his guilty plea of manslaughter by diminished responsibility",en,[],[],[],1,0,0,[],[],https://twitter.com/thetimes/status/1552555452671705088,False,,0,,,,,,,,[],,,,
1552555451362983936,1552542193826553857,2022-07-28 00:23:59 Pacific Daylight Time,2022-07-28,00:23:59,-0700,6107422,thetimes,The Times and The Sunday Times,,"Ministry officials said Oliver’s sentencing was likely to be the groundbreaking broadcast, but that the specific case would not be confirmed until today",en,[],[],[],1,0,0,[],[],https://twitter.com/thetimes/status/1552555451362983936,False,,0,,,,,,,,[],,,,
1552555450025054210,1552542193826553857,2022-07-28 00:23:59 Pacific Daylight Time,2022-07-28,00:23:59,-0700,6107422,thetimes,The Times and The Sunday Times,,"No other participants in the court process, such as the jurors, advocates or defendants, can be pictured",en,[],[],[],1,0,0,[],[],https://twitter.com/thetimes/status/1552555450025054210,False,,0,,,,,,,,[],,,,
1552555448624193539,1552542193826553857,2022-07-28 00:23:58 Pacific Daylight Time,2022-07-28,00:23:58,-0700,6107422,thetimes,The Times and The Sunday Times,,"The new regime, which comes after a pilot scheme run by the Ministry of Justice, will still be highly restricted, with broadcasters only allowed to film judges as they make their sentencing remarks  https://t.co/gdLt0NP8YT",en,[],['https://www.thetimes.co.uk/article/court-on-camera-why-has-step-towards-open-justice-taken-so-long-86s8p89c8?utm_source=Twitter&utm_campaign=Cam&utm_medium=branded_social'],[],1,1,1,[],[],https://twitter.com/thetimes/status/1552555448624193539,False,,0,,,,,,,,[],,,,
1552555447437217792,1552542193826553857,2022-07-28 00:23:58 Pacific Daylight Time,2022-07-28,00:23:58,-0700,6107422,thetimes,The Times and The Sunday Times,,Broadcasters will now be allowed to apply to film in crown courts across England and Wales,en,[],[],[],1,1,2,[],[],https://twitter.com/thetimes/status/1552555447437217792,False,,0,,,,,,,,[],,,,
1552555445671305220,1552542193826553857,2022-07-28 00:23:57 Pacific Daylight Time,2022-07-28,00:23:57,-0700,6107422,thetimes,The Times and The Sunday Times,,"At the Old Bailey, Judge Sarah Munro QC is expected to be recorded sentencing Ben Oliver, of Bexleyheath, southeast London, for the manslaughter of his grandfather last year",en,[],[],[],2,0,0,[],[],https://twitter.com/thetimes/status/1552555445671305220,False,,0,,,,,,,,[],,,,
1552553406186852352,1552553406186852352,2022-07-28 00:15:51 Pacific Daylight Time,2022-07-28,00:15:51,-0700,6107422,thetimes,The Times and The Sunday Times,,🔺 Update: The sister of a British graduate killed in a helicopter accident in Athens has dismissed claims by the Greek authorities that he deliberately walked towards the spinning rear rotor blade  https://t.co/HOYdIYHR9Y,en,[],['https://www.thetimes.co.uk/article/jack-fenton-briton-killed-by-helicopter-in-greece-wasnt-taking-a-selfie-says-sister-jmznckb7x?utm_medium=Social&utm_source=Twitter#Echobox=1658982928'],[],0,4,8,[],[],https://twitter.com/thetimes/status/1552553406186852352,False,,0,,,,,,,,[],,,,
1552549988202414082,1552549988202414082,2022-07-28 00:02:16 Pacific Daylight Time,2022-07-28,00:02:16,-0700,6107422,thetimes,The Times and The Sunday Times,,"When Stephen Bett’s leylandii trees were torn down in the middle of the night by a mystery assailant, the wealthy landowner went to great lengths to regain some privacy  https://t.co/sEglKeXRGZ",en,[],['https://www.thetimes.co.uk/article/hay-bales-at-dawn-in-neighbours-privacy-war-627dww7bl?utm_medium=Social&utm_source=Twitter#Echobox=1658982867'],[],1,0,3,[],[],https://twitter.com/thetimes/status/1552549988202414082,False,,0,,,,,,,,[],,,,
1552545769575645185,1552545769575645185,2022-07-27 23:45:31 Pacific Daylight Time,2022-07-27,23:45:31,-0700,6107422,thetimes,The Times and The Sunday Times,,"Borrowing tactics from the 2016 Leave campaign, the foreign secretary has made Sunak look complacent and inflexible | ✍️ Iain Martin  https://t.co/lN8jCLZohV",en,[],['https://www.thetimes.co.uk/article/how-liz-truss-routed-the-tory-establishment-9f7lr685q?utm_medium=Social&utm_source=Twitter#Echobox=1658982809'],[],1,2,4,[],[],https://twitter.com/thetimes/status/1552545769575645185,False,,0,,,,,,,,[],,,,
1552542193826553857,1552542193826553857,2022-07-27 23:31:18 Pacific Daylight Time,2022-07-27,23:31:18,-0700,6107422,thetimes,The Times and The Sunday Times,,English legal history will be made today when television cameras broadcast from a crown court for the first time  https://t.co/NRQZiRZuNU,en,[],['https://www.thetimes.co.uk/article/first-televised-crown-court-sentencing-to-air-tomorrow-3pp67hwg6?utm_medium=Social&utm_source=Twitter#Echobox=1658982741'],[],3,9,18,[],[],https://twitter.com/thetimes/status/1552542193826553857,False,,0,,,,,,,,[],,,,
1552538318973403136,1552538318973403136,2022-07-27 23:15:54 Pacific Daylight Time,2022-07-27,23:15:54,-0700,6107422,thetimes,The Times and The Sunday Times,,"Britain must trade more with Commonwealth countries to counter China’s “grave threat to our values and way of life”, Liz Truss has said  https://t.co/TckmNASDGM",en,[],['https://www.thetimes.co.uk/article/liz-truss-calls-for-more-commonwealth-trade-ms2chq9ld?utm_medium=Social&utm_source=Twitter#Echobox=1658982703'],[],3,3,19,[],[],https://twitter.com/thetimes/status/1552538318973403136,False,,0,,,,,,,,[],,,,
1552534474256162816,1552534474256162816,2022-07-27 23:00:38 Pacific Daylight Time,2022-07-27,23:00:38,-0700,6107422,thetimes,The Times and The Sunday Times,,The West risks stumbling into a nuclear conflict with China or Russia because backdoor channels between rival powers have collapsed  https://t.co/DAgMS3FRmP,en,[],['https://www.thetimes.co.uk/article/talk-to-our-enemies-or-run-risk-of-nuclear-war-security-tsar-warns-5vnj2jbwb?utm_medium=Social&utm_source=Twitter#Echobox=1658982661'],[],2,5,6,[],[],https://twitter.com/thetimes/status/1552534474256162816,False,,0,,,,,,,,[],,,,
1552413815416840193,1552413815416840193,2022-07-27 15:01:10 Pacific Daylight Time,2022-07-27,15:01:10,-0700,6107422,thetimes,The Times and The Sunday Times,,"⚽ A relatively unknown member of Sarina Wiegman’s squad before the Euros, Alessia Russo had quietly predicted a “special summer” in which she was determined to leave her mark    https://t.co/idH77TGjlO",en,[],['https://www.thetimes.co.uk/article/as-lionesses-head-to-the-final-who-is-back-heel-star-alessia-russo-7zlfb6krs?utm_medium=Social&utm_source=Twitter#Echobox=1658956675'],[],0,0,3,[],[],https://twitter.com/thetimes/status/1552413815416840193,False,,0,,,,,,,,[],,,,
1552410224602087424,1552410224602087424,2022-07-27 14:46:54 Pacific Daylight Time,2022-07-27,14:46:54,-0700,6107422,thetimes,The Times and The Sunday Times,,The new US ambassador to London has denied that President Biden feels antipathy towards Britain because of his Irish heritage    https://t.co/OJ6sS43mRc,en,[],['https://www.thetimes.co.uk/article/joe-biden-has-no-beef-with-britain-says-new-envoy-wt70685w2?utm_medium=Social&utm_source=Twitter#Echobox=1658956753'],[],4,11,5,[],[],https://twitter.com/thetimes/status/1552410224602087424,False,,0,,,,,,,,[],,,,
1552406308502085636,1552406308502085636,2022-07-27 14:31:20 Pacific Daylight Time,2022-07-27,14:31:20,-0700,6107422,thetimes,The Times and The Sunday Times,,"🔺 NEW: The West risks stumbling into a nuclear conflict with China or Russia because backdoor channels between rival powers have collapsed, the national security adviser has warned  https://t.co/2IqbhpUeVD",en,[],['https://www.thetimes.co.uk/article/talk-to-our-enemies-or-run-risk-of-nuclear-war-security-tsar-warns-5vnj2jbwb?utm_medium=Social&utm_source=Twitter#Echobox=1658956665'],[],1,10,14,[],[],https://twitter.com/thetimes/status/1552406308502085636,False,,0,,,,,,,,[],,,,
1552402651698036745,1552402651698036745,2022-07-27 14:16:49 Pacific Daylight Time,2022-07-27,14:16:49,-0700,6107422,thetimes,The Times and The Sunday Times,,"President Biden is offering to exchange Viktor Bout, a convicted Russian arms trafficker, for Brittney Griner and Paul Whelan, two Americans held by Russia  https://t.co/5xNQCUdFuZ",en,[],['https://www.thetimes.co.uk/article/brittney-griner-testifies-at-russian-drug-trial-v8988czbk?utm_medium=Social&utm_source=Twitter#Echobox=1658955297'],[],5,4,22,[],[],https://twitter.com/thetimes/status/1552402651698036745,False,,0,,,,,,,,[],,,,
1552398665163096066,1552398665163096066,2022-07-27 14:00:58 Pacific Daylight Time,2022-07-27,14:00:58,-0700,6107422,thetimes,The Times and The Sunday Times,,New research shows toxins from traffic are a major contributor to dementia as well as other debilitating or fatal conditions. The next prime minister must toughen up the law | 🗞️ The Times view  https://t.co/B69CKJ37iC,en,[],['https://www.thetimes.co.uk/article/the-times-view-on-the-link-between-pollution-and-dementia-clear-the-air-86zwd3k0z?utm_medium=Social&utm_source=Twitter#Echobox=1658954083'],[],4,18,27,[],[],https://twitter.com/thetimes/status/1552398665163096066,False,,0,,,,,,,,[],,,,
1552394912154411008,1552394912154411008,2022-07-27 13:46:03 Pacific Daylight Time,2022-07-27,13:46:03,-0700,6107422,thetimes,The Times and The Sunday Times,,"""Middlebrow is a great democratic style. It forces highbrows to participate in a shared culture and it raises the standards of the low"" | ✍️ @j_amesmarriott   https://t.co/GVGZlNXBqB",en,"[{'screen_name': 'j_amesmarriott', 'name': 'james marriott', 'id': '776836155841052672'}]",['https://www.thetimes.co.uk/article/were-losing-the-art-of-being-middlebrow-cp5f2cxvv?utm_medium=Social&utm_source=Twitter#Echobox=1658954045'],[],4,3,6,[],[],https://twitter.com/thetimes/status/1552394912154411008,False,,0,,,,,,,,[],,,,
1552393678425038848,1552357202249261059,2022-07-27 13:41:09 Pacific Daylight Time,2022-07-27,13:41:09,-0700,6107422,thetimes,The Times and The Sunday Times,,Read the full story 👇  https://t.co/VfCiHy6dwB,en,[],['https://www.thetimes.co.uk/article/tory-leadership-debate-rishi-sunak-liz-truss-next-prime-minister-3b60kks3j?utm_medium=Social&utm_source=Twitter#Echobox=1658945114'],[],3,3,8,[],[],https://twitter.com/thetimes/status/1552393678425038848,False,,0,,,,,,,,[],,,,
1552393596338315265,1552357202249261059,2022-07-27 13:40:50 Pacific Daylight Time,2022-07-27,13:40:50,-0700,6107422,thetimes,The Times and The Sunday Times,,The policies include:  https://t.co/zYNBO1W6lm,en,[],[],['https://pbs.twimg.com/media/FYs1t8eXwAEoju7.jpg'],2,4,8,[],[],https://twitter.com/thetimes/status/1552393596338315265,False,,1,https://pbs.twimg.com/media/FYs1t8eXwAEoju7.jpg,,,,,,,[],,,,
1552393526209646595,1552357202249261059,2022-07-27 13:40:33 Pacific Daylight Time,2022-07-27,13:40:33,-0700,6107422,thetimes,The Times and The Sunday Times,,"In an apparent effort to reassure China, it states that the National Security and Investment Act “is not about particular countries or actors”. It agrees to an “open, fair and non-discriminatory investment environment”",en,[],[],[],1,1,5,[],[],https://twitter.com/thetimes/status/1552393526209646595,False,,0,,,,,,,,[],,,,
1552393288069648385,1552357202249261059,2022-07-27 13:39:36 Pacific Daylight Time,2022-07-27,13:39:36,-0700,6107422,thetimes,The Times and The Sunday Times,,"It makes no reference to China’s treatment of the Uighur people, which has been described as genocide, or Beijing’s clampdown on people’s democratic rights in Hong Kong  https://t.co/m7QtUPs7pO",en,[],['https://www.thetimes.co.uk/article/evidence-of-exiled-uighurs-abduction-adds-to-pressure-for-investigation-of-beijing-p5b72gzsj?utm_medium=Social&utm_source=Twitter#Echobox=1655729435'],[],1,8,14,[],[],https://twitter.com/thetimes/status/1552393288069648385,False,,0,,,,,,,,[],,,,
1552393220168073218,1552357202249261059,2022-07-27 13:39:20 Pacific Daylight Time,2022-07-27,13:39:20,-0700,6107422,thetimes,The Times and The Sunday Times,,"Entitled “policy outcomes of the 11th UK-China Economic and Financial dialogue”, it opens on the assumption that the talks have already taken place between Sunak and his Chinese counterpart before going into blow-by-blow detail on the agreement between the two nations",en,[],[],[],1,4,7,[],[],https://twitter.com/thetimes/status/1552393220168073218,False,,0,,,,,,,,[],,,,
1552392843427254273,1552357202249261059,2022-07-27 13:37:50 Pacific Daylight Time,2022-07-27,13:37:50,-0700,6107422,thetimes,The Times and The Sunday Times,,"The document, which was the product of months of talks between the two nations, shows how close Sunak and the Treasury came to announcing the plans",en,[],[],[],1,2,7,[],[],https://twitter.com/thetimes/status/1552392843427254273,False,,0,,,,,,,,[],,,,
1552392732265660416,1552357202249261059,2022-07-27 13:37:24 Pacific Daylight Time,2022-07-27,13:37:24,-0700,6107422,thetimes,The Times and The Sunday Times,,"Sunak said that he had cancelled the event, which was scheduled for the spring, because he was concerned about the threat China posed to the UK’s national security  https://t.co/L2X4XUIwM7",en,[],['https://www.thetimes.co.uk/article/sunaks-vow-to-close-down-chinas-soft-power-in-universities-n8tt3l065?utm_medium=Social&utm_source=Twitter#Echobox=1658813597-1'],[],1,1,5,[],[],https://twitter.com/thetimes/status/1552392732265660416,False,,0,,,,,,,,[],,,,
1552392682336669703,1552357202249261059,2022-07-27 13:37:12 Pacific Daylight Time,2022-07-27,13:37:12,-0700,6107422,thetimes,The Times and The Sunday Times,,"The Times has seen a 47-page draft of the proposed agreement, which includes details of potential “policy outcomes” in more than 20 areas including closer ties on banking, asset management, regulation and travel",en,[],[],[],1,4,7,[],[],https://twitter.com/thetimes/status/1552392682336669703,False,,0,,,,,,,,[],,,,
1552392422205915136,1552357202249261059,2022-07-27 13:36:10 Pacific Daylight Time,2022-07-27,13:36:10,-0700,6107422,thetimes,The Times and The Sunday Times,,"However, this year Sunak and the Treasury were in the advanced stages of preparing an “economic and financial dialogue” with China which would have significantly strengthened ties between the two nations  https://t.co/YguPYWGQBj",en,[],[],['https://pbs.twimg.com/media/FYs0qojXkAIvSnt.jpg'],3,2,10,[],[],https://twitter.com/thetimes/status/1552392422205915136,False,,1,https://pbs.twimg.com/media/FYs0qojXkAIvSnt.jpg,,,,,,,[],,,,
1552392273152851968,1552357202249261059,2022-07-27 13:35:34 Pacific Daylight Time,2022-07-27,13:35:34,-0700,6107422,thetimes,The Times and The Sunday Times,,"The former chancellor has positioned himself as a China “hawk” during the Tory leadership contest, warning that Beijing represents the biggest long-term threat to the UK’s interests. He accused China of stealing technology and bullying smaller nations",en,[],[],[],1,5,12,[],[],https://twitter.com/thetimes/status/1552392273152851968,False,,0,,,,,,,,[],,,,
1552391043278151681,1552391043278151681,2022-07-27 13:30:41 Pacific Daylight Time,2022-07-27,13:30:41,-0700,6107422,thetimes,The Times and The Sunday Times,,"Boris and Carrie Johnson’s wedding party is to move from Chequers to Daylesford House. Isn’t this what half of Britain aspires to, asks @HannahJBetts  https://t.co/h0ZKQAsv3m",en,"[{'screen_name': 'hannahjbetts', 'name': 'singularist', 'id': '162068799'}]",['https://www.thetimes.co.uk/article/boris-carrie-johnson-wedding-daylesford-house-gcw0k8t0g?utm_medium=Social&utm_source=Twitter#Echobox=1658952421'],[],3,2,8,[],[],https://twitter.com/thetimes/status/1552391043278151681,False,,0,,,,,,,,[],,,,
1552387383697498115,1552387383697498115,2022-07-27 13:16:08 Pacific Daylight Time,2022-07-27,13:16:08,-0700,6107422,thetimes,The Times and The Sunday Times,,"The February Morning channel offers Russians the truth, in their own language, about the invasion of Ukraine  https://t.co/QVuFtHJ4g2",en,[],['https://www.thetimes.co.uk/article/exiled-dissidents-take-on-putins-propaganda-machine-j7zmk7j6l?utm_medium=Social&utm_source=Twitter#Echobox=1658952446'],[],3,2,11,[],[],https://twitter.com/thetimes/status/1552387383697498115,False,,0,,,,,,,,[],,,,
1552384421835177984,1552384421835177984,2022-07-27 13:04:22 Pacific Daylight Time,2022-07-27,13:04:22,-0700,6107422,thetimes,The Times and The Sunday Times,,"Legal history will be made tomorrow when television cameras broadcast a sentencing at the Old Bailey, the Ministry of Justice has announced  https://t.co/0RWWoPrpDH",en,[],['https://www.thetimes.co.uk/article/first-televised-crown-court-sentencing-to-air-tomorrow-3pp67hwg6?utm_medium=Social&utm_source=Twitter#Echobox=1658951180'],[],0,6,13,[],[],https://twitter.com/thetimes/status/1552384421835177984,False,,0,,,,,,,,[],,,,
1552379843756564480,1552379843756564480,2022-07-27 12:46:11 Pacific Daylight Time,2022-07-27,12:46:11,-0700,6107422,thetimes,The Times and The Sunday Times,,"Brad Pitt has bought a picturesque house in California overlooking the Pacific for $40m (£33m), breaking local property price records   https://t.co/Du2iI97lqj",en,[],['https://www.thetimes.co.uk/article/brad-pitt-buys-40m-dl-james-house-in-california-c93btb3v0?utm_medium=Social&utm_source=Twitter#Echobox=1658946344'],[],4,1,10,[],[],https://twitter.com/thetimes/status/1552379843756564480,False,,0,,,,,,,,[],,,,
1552376197912346624,1552376197912346624,2022-07-27 12:31:41 Pacific Daylight Time,2022-07-27,12:31:41,-0700,6107422,thetimes,The Times and The Sunday Times,,Brussels could soon host Amsterdam-style cannabis “coffee shops” as part of efforts to ease drug laws in the home of EU institutions and Nato   https://t.co/LunOj905W0,en,[],['https://www.thetimes.co.uk/article/brussels-mayor-wants-cannabis-cafes-nwgktkbc5?utm_medium=Social&utm_source=Twitter#Echobox=1658945124'],[],1,2,8,[],[],https://twitter.com/thetimes/status/1552376197912346624,False,,0,,,,,,,,[],,,,
1552372422480896004,1552372422480896004,2022-07-27 12:16:41 Pacific Daylight Time,2022-07-27,12:16:41,-0700,6107422,thetimes,The Times and The Sunday Times,,A British-born environmental campaigner jailed for ten years for spying has been granted temporary release from an Iranian prison   https://t.co/euEhoCJ4aV,en,[],['https://www.thetimes.co.uk/article/environmentalist-morad-tahbaz-gets-temporary-release-from-iran-jail-xg2mwhgf9?utm_medium=Social&utm_source=Twitter#Echobox=1658943546'],[],2,3,3,[],[],https://twitter.com/thetimes/status/1552372422480896004,False,,0,,,,,,,,[],,,,
1552368426655547393,1552368426655547393,2022-07-27 12:00:49 Pacific Daylight Time,2022-07-27,12:00:49,-0700,6107422,thetimes,The Times and The Sunday Times,,The American basketball player testified in a Russian court today that she did not intend to smuggle drugs into Russia and that officials ordered her to sign documents without explaining them to her  https://t.co/9SEmrLD9cx,en,[],['https://www.thetimes.co.uk/article/brittney-griner-testifies-at-russian-drug-trial-v8988czbk?utm_medium=Social&utm_source=Twitter#Echobox=1658942122'],[],1,5,10,[],[],https://twitter.com/thetimes/status/1552368426655547393,False,,0,,,,,,,,[],,,,
1552364874801487875,1552364874801487875,2022-07-27 11:46:42 Pacific Daylight Time,2022-07-27,11:46:42,-0700,6107422,thetimes,The Times and The Sunday Times,,Assault rifles marketed as a way for young men to “prove their manliness” have earned leading gun manufacturers $1bn over the past decade  https://t.co/NZ9Tw4VRxV,en,[],['https://www.thetimes.co.uk/article/gunmakers-earned-1bn-selling-assault-rifles-to-young-americans-vb6vvkplh?utm_medium=Social&utm_source=Twitter#Echobox=1658942036'],[],2,4,11,[],[],https://twitter.com/thetimes/status/1552364874801487875,False,,0,,,,,,,,[],,,,
1552361206073237504,1552361206073237504,2022-07-27 11:32:07 Pacific Daylight Time,2022-07-27,11:32:07,-0700,6107422,thetimes,The Times and The Sunday Times,,🔺 NEW: The US Federal Reserve has raised interest rates by 75 basis points for the second consecutive month as its officials tackle soaring inflation across the world’s largest economy  https://t.co/zT3bTDSRww,en,[],['https://www.thetimes.co.uk/article/fed-raises-us-interest-rates-by-75-basis-points-for-second-month-6s65xj3sv?utm_medium=Social&utm_source=Twitter#Echobox=1658946374'],[],0,4,9,[],[],https://twitter.com/thetimes/status/1552361206073237504,False,,0,,,,,,,,[],,,,
1552357202249261059,1552357202249261059,2022-07-27 11:16:13 Pacific Daylight Time,2022-07-27,11:16:13,-0700,6107422,thetimes,The Times and The Sunday Times,,🔺 JUST IN: Rishi Sunak was close to signing a new economic agreement with China which aimed to “deepen trade links” and make the UK the “market of choice” for Chinese companies   https://t.co/VfCiHy6dwB,en,[],['https://www.thetimes.co.uk/article/tory-leadership-debate-rishi-sunak-liz-truss-next-prime-minister-3b60kks3j?utm_medium=Social&utm_source=Twitter#Echobox=1658945114'],[],17,61,83,[],[],https://twitter.com/thetimes/status/1552357202249261059,False,,0,,,,,,,,[],,,,
1552349586575998978,1552349586575998978,2022-07-27 10:45:57 Pacific Daylight Time,2022-07-27,10:45:57,-0700,6107422,thetimes,The Times and The Sunday Times,,🔺 Update: Keir Starmer has sacked the Labour MP Sam Tarry from his front bench after he defied the leader’s orders not to join picket lines in support of the rail strikes  https://t.co/Fec6Vq0INl,en,[],['https://www.thetimes.co.uk/article/rail-strikes-could-drag-on-for-a-year-warns-rmt-boss-mick-lynch-pcwcpf3n9?utm_medium=Social&utm_source=Twitter#Echobox=1658943575'],[],1,4,11,[],[],https://twitter.com/thetimes/status/1552349586575998978,False,,0,,,,,,,,[],,,,
1552349577692553217,1552349577692553217,2022-07-27 10:45:55 Pacific Daylight Time,2022-07-27,10:45:55,-0700,6107422,thetimes,The Times and The Sunday Times,,"Jeff Bezos, was spotted on a private tour of Buckingham Palace’s treasures before dining at the same restaurant as Tom Cruise that evening    https://t.co/6MaCSZDr0L",en,[],['https://www.thetimes.co.uk/article/jeff-bezos-takes-shopping-trip-tour-at-buckingham-palace-g8wjf8w5s?utm_medium=Social&utm_source=Twitter#Echobox=1658939496'],[],0,1,4,[],[],https://twitter.com/thetimes/status/1552349577692553217,False,,0,,,,,,,,[],,,,
1552345943604862979,1552345943604862979,2022-07-27 10:31:28 Pacific Daylight Time,2022-07-27,10:31:28,-0700,6107422,thetimes,The Times and The Sunday Times,,Why do so many users want the platform to ‘stop trying to be TikTok’ and are they right?   https://t.co/zT0tbqZqSZ,en,[],['https://www.thetimes.co.uk/article/kylie-jenner-kim-kardashian-and-the-great-instagram-backlash-27tpr29x3?utm_medium=Social&utm_source=Twitter#Echobox=1658935178'],[],0,2,4,[],[],https://twitter.com/thetimes/status/1552345943604862979,False,,0,,,,,,,,[],,,,
